CODIGO_MESA|DESCRIPCION|CODIGO_PAIS|NOMBRE_PAIS|CODIGO_DEPARTAMENTO|NOMBRE_DEPARTAMENTO|CODIGO_PROVINCIA|NOMBRE_PROVINCIA|CODIGO_SECCION|NOMBRE_MUNICIPIO|CODIGO_LOCALIDAD|NOMBRE_LOCALIDAD|CODIGO_RECINTO|NOMBRE_RECINTO|NUMERO_MESA|INSCRITOS_HABILITADOS|CID|MAS-IPSP|MTS|P.S.T.|VOTO_VALIDO|VOTO_BLANCO|VOTO_NULO|VOTO_EMITIDO|VOTO_VALIDO_SISTEMA|VOTO_EMITIDO_SISTEMA
9000017|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2751|Nueva Esperanza|13|U.E. Nueva Esperanza|1|136|0|56|63|0|119|1|1|121|119|121
9000027|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|3|U. E. Instituto Americano|1|218|0|60|109|0|169|1|6|176|169|176
9000037|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|3|U. E. Instituto Americano|2|220|0|60|107|0|167|0|4|171|167|171
9000047|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|3|U. E. Instituto Americano|3|220|0|64|107|0|171|1|7|179|171|179
9000057|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|3|U. E. Instituto Americano|4|145|0|28|89|0|117|0|1|118|117|118
9000067|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|5|U. E.  America|1|220|0|64|105|0|169|0|3|172|169|172
9000077|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|5|U. E.  America|2|219|0|57|97|0|154|2|8|164|154|164
9000087|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|5|U. E.  America|3|182|0|47|94|0|141|1|9|151|141|151
9000097|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|8|U.E. Mariano Baptista|1|220|0|50|93|0|143|1|5|149|143|149
9000107|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|8|U.E. Mariano Baptista|2|220|0|57|96|0|153|1|4|158|153|158
9000117|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|8|U.E. Mariano Baptista|3|220|0|54|85|0|139|0|10|149|139|149
9000127|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|8|U.E. Mariano Baptista|4|218|0|53|98|0|151|1|2|154|151|154
9000137|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|8|U.E. Mariano Baptista|5|219|0|54|99|0|153|0|5|158|153|158
9000147|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|8|U.E. Mariano Baptista|6|69|0|26|25|0|51|1|2|54|51|54
9000157|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|23|U. E. Vaca Diez (Intermedio)|1|220|0|62|59|0|121|0|5|126|121|126
9000167|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|23|U. E. Vaca Diez (Intermedio)|2|216|0|60|63|0|123|1|8|132|123|132
9000177|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|23|U. E. Vaca Diez (Intermedio)|3|220|0|64|73|0|137|0|6|143|137|143
9000187|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|23|U. E. Vaca Diez (Intermedio)|4|220|0|48|90|0|138|0|6|144|138|144
9000197|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|23|U. E. Vaca Diez (Intermedio)|5|147|0|50|43|0|93|1|7|101|93|101
9000207|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|25028|U. E. Cobija|1|220|0|64|88|0|152|0|3|155|152|155
9000217|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|25028|U. E. Cobija|2|220|0|67|88|0|155|1|6|162|155|162
9000227|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|25028|U. E. Cobija|3|219|0|51|77|0|128|1|8|137|128|137
9000237|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|25028|U. E. Cobija|4|220|0|56|78|0|134|1|4|139|134|139
9000247|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|25028|U. E. Cobija|5|217|0|65|91|0|156|0|3|159|156|159
9000257|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|25028|U. E. Cobija|6|220|0|62|95|0|157|1|7|165|157|165
9000267|GOBERNADOR(A)|32|Bolivia|9|Pando|1|Nicolás Suárez|1|Cobija|2773|Cobija|25028|U. E. Cobija|7|218|0|55|96|0|151|1|8|160|151|160
